Authors,Year,Setting,Compensation,Choice-type,Population,Retention,N,Published
Aiken et al.,2012,Applied,Not stated,Observation,Adult,24-hr,28,Yes
Alami,2013,Lab,Yes,Feedback (KR),Adult,24-hr,22,No
Ali et al.,2012,Lab,Not stated,Feedback (KR),Adult,24-hr,48,Yes
Andrieux et al.,2016,Lab,Not stated,Task difficulty,Adult,24-hr,48,Yes
Andrieux et al.,2012,Lab,Not stated,Task difficulty,Adult,24-hr,38,Yes
Arsal,"2004, Exp 1",Lab,Not stated,Feedback (KR),Adult,48-hr,28,No
Arsal,"2004, Exp 2",Lab,Not stated,Feedback (KR),Adult,48-hr,28,No
Barros,"2010, Blocked",Lab,Not stated,Feedback (KR),Adult,24-hr,48,No
Barros,"2010, Random",Lab,Not stated,Feedback (KR),Adult,24-hr,48,No
Barros et al.,"2019, Exp 1",Lab-Applied,No,Feedback (KR),Adult,24-hr,60,Yes
Barros et al.,"2019, Exp 2",Lab,No,Feedback (KR),Adult,24-hr,60,Yes
Bass,2015,Lab,No,Feedback (KR),Adult,24-hr,20,No
Bass,2018,Applied,No,Feedback (KR),Adult,24-hr,60,No
Brydges et al.,2009,Applied,Not stated,Observation,Adult,>48-hr,48,Yes
Bund & Weimeyer,2004,Lab-Applied,No,Observation,Adult,24-hr,52,Yes
Carter & Patterson,2012,Lab,Not stated,Feedback (KR),Adult,24-hr,20,Yes
Carter & Patterson,2012,Lab,Not stated,Feedback (KR),Older,24-hr,20,Yes
Carter & Patterson,2012,Lab,Not stated,Feedback (KR),Two,24-hr,40,Yes
Chen et al.,2002,Lab,Yes,Feedback (KR),Adult,48-hr,48,Yes
Chiviacowsky,2014,Lab,Not stated,Feedback (KR),Adult,24-hr,28,Yes
Chiviacowsky & Lessa,2017,Lab,Not stated,Feedback (KR),Oider,48-hr,22,Yes
Chiviacowsky & Wulf,2002,Lab,Not stated,Feedback (KR),Adult,24-hr,30,Yes
Chiviacowsky et al.,2012,Lab,Not stated,Feedback (KR),Clinical,24-hr,30,Yes
Chiviacowsky et al.,2008,Lab,Not stated,Feedback (KR),Children,24-hr,26,Yes
Chiviacowsky et al.,2012,Lab,Not stated,Assistive device,Clinical,24-hr,28,Yes
Davis,2009,Applied,Not stated,Model,Adult,24-hr,24,No
Fagundes et al.,2013,Lab-Applied,Not stated,Feedback (KR),Adult,48-hr,52,Yes
Fairbrother et al.,2012,Lab,Not stated,Feedback (KR),Adult,24-hr,48,Yes
Ferreira et al.,2019,Lab,Not stated,Feedback (KR),Adult,24-hr,60,Yes
Figueiredo et al.,2018,Lab,No,Feedback (KR),Adult,24-hr,30,Yes
Ghorbani,"2019, Exp 2",Lab-Applied,Not stated,Feedback (KR),Adult,24-hr,36,Yes
Grand et al.,2015,Lab,No,Feedback (KR),Adult,24-hr,36,Yes
Grand et al.,2017,Lab,Yes,Incidental,Adult,>48-hr,68,Yes
Hansen et al.,2011,Lab,No,Feedback (KR),Adult,24-hr,24,Yes
Hartman,2007,Lab,Not stated,Assistive device,Adult,24-hr,18,Yes
Hemayettalab et al.,2013,Lab,Not stated,Feedback (KR),Clinical,24-hr,20,Yes
Ho,2016,Lab,Not stated,Amount of practice,Adult,24-hr,120,No
Holmberg,2013,Lab-Applied,No,Feedback (KP),Adult,24-hr,24,No
Huet et al.,2009,Lab-Applied,Not stated,Feedback (Concurrent),Adult,24-hr,20,Yes
Ikudome et al.,"2019, Exp 1",Lab-Applied,No,Incidental,Adult,24-hr,40,Yes
Ikudome et al.,"2019, Exp 2",Lab-Applied,No,Observation,Adult,24-hr,40,Yes
Jalalvan et al.,2019,Lab-Applied,Not stated,Task difficulty,Adult,24-hr,60,Yes
Janelle et al.,1997,Lab-Applied,Yes,Feedback (KP),Adult,>48-hr,48,Yes
Jones,2010,Lab,Yes,Repetition schedule,Adult,24-hr,40,No
Kaefer et al.,2014,Lab,No,Feedback (KR),Adult,24-hr,56,Yes
Keetch & Lee,2007,Lab,Yes,Repetition schedule,Adult,24-hr,96,Yes
Kim et al.,2019,Lab,Yes,Feedback (KR),Adult,24-hr,42,Yes
Leiker et al.,2016,Lab-Applied,Not stated,Task difficulty,Adult,>48-hr,60,Yes
Leiker et al.,2019,Lab,Not stated,Task difficulty,Adult,>48-hr,60,Yes
Lemos et al.,2017,Applied,No,Observation,Children,24-hr,24,Yes
Lessa & Chiviacowsky,2015,Applied,Not stated,Amount of practice,Older,48-hr,36,Yes
Lewthwaite et al.,"2015, Exp 1",Lab-Applied,Not stated,Incidental,Adult,24-hr,24,Yes
Lewthwaite et al.,"2015, Exp 2",Lab,Not stated,Incidental,Adult,24-hr,30,Yes
Lim et al.,2015,Applied,Not stated,Feedback (KP),Adult,24-hr,24,Yes
Marques & Correa,2016,Applied,Not stated,Feedback (KP),Adult,48-hr,70,Yes
Marques et al.,2017,Applied,Not stated,Feedback (KP),Adult,24-hr,30,Yes
Norouzi et al.,2016,Lab,Not stated,Feedback (KR),Adult,24-hr,45,Yes
Nunes et al.,2019,Lab-Applied,No,Feedback (KP),Older,24-hr,40,Yes
Ostrowski,2015,Lab,Not stated,Feedback (KR),Adult,24-hr,80,No
Patterson & Carter,2010,Lab,Yes,Feedback (KR),Adult,24-hr,24,Yes
Patterson & Lee,2010,Lab-Applied,Yes,Task difficulty,Adult,48-hr,48,Yes
Patterson et al.,2013,Lab,Yes,Feedback (KR),Adult,24-hr,48,Yes
Patterson et al.,2011,Lab,Yes,Feedback (KR),Adult,24-hr,60,Yes
Post et al.,2016,Lab-Applied,No,Feedback (KP),Adult,24-hr,44,Yes
Post et al.,2011,Applied,No,Amount of practice,Adult,24-hr,24,Yes
Post et al.,2014,Applied,Not stated,Amount of practice,Adult,24-hr,30,Yes
Rydberg,2011,Applied,Not stated,Repetition schedule,Adult,24-hr,16,No
Sanli & Patterson,2013,Lab,No,Repetition schedule,Adult,24-hr,24,Yes
Sanli & Patterson,2013,Lab,No,Repetition schedule,Children,24-hr,24,Yes
Ste-Marie et al.,2013,Applied,No,Feedback (KP),Children,24-hr,60,Yes
Tsai & Jwo,2015,Lab,Yes,Feedback (KR),Adult,24-hr,36,Yes
von Lindern,2017,Lab,Not stated,Feedback (KR),Adult,24-hr,48,No
Williams et al.,2017,Lab,Yes,Feedback (Concurrent),Adult,24-hr,29,Yes
Wu & Magill,2011,Lab,No,Repetition schedule,Adult,24-hr,30,Yes
Wu,"2007, Exp 1",Lab-Applied,Yes,Repetition schedule,Adult,24-hr,30,No
Wulf & Adams,2014,Lab,No,Repetition schedule,Adult,24-hr,20,Yes
Wulf &Toole,1999,Lab-Applied,Yes,Assistive device,Adult,24-hr,26,Yes
Wulf et al.,"2015, Exp 1",Lab-Applied,No,Repetition schedule,Adult,24-hr,68,Yes
Wulf et al.,2001,Lab-Applied,Yes,Assistive device,Adult,24-hr,26,Yes
Wulf et al.,"2018, Exp 1",Lab-Applied,No,Incidental,Adult,24-hr,32,Yes
Wulf et al.,"2018, Exp 2",Lab-Applied,No,Incidental,Adult,48-hr,28,Yes
Wulf et al.,"2018, Exp 2",Lab-Applied,No,Observation,Adult,48-hr,28,Yes
Wulf et al.,"2018, Exp 2",Lab-Applied,No,Two,Adult,48-hr,42,Yes
Wulf et al.,2005,Applied,No,Observation,Adult,>48-hr,26,Yes
